i	delta
0	-0.530041
1	-0.632760
2	0.048883
3	-0.197958
4	-0.055020
5	-0.119021
6	-0.313958
7	-0.116892
8	-0.325799
9	0.212924
10	0.063349
11	0.242052
12	0.089299
13	0.161791
14	-0.130136
15	-0.027129
16	0.220866
17	0.205522
18	-0.194487
19	-0.034269
20	0.162882
21	-0.007211
22	0.203038
23	0.024792
24	0.026953
25	-0.022679
26	0.165099
27	0.235445
28	0.105243
29	0.113300
30	-0.074421
31	-0.150095
32	0.136806
33	0.083123
34	-0.087468
35	-0.012585
36	0.043978
37	0.148447
38	0.106275
39	0.193499
40	-0.063605
41	0.132641
42	0.200971
43	-0.096234
44	0.021552
45	0.012448
46	-0.048539
47	0.006525
48	0.004900
49	0.023842
50	0.196027
51	-0.017484
52	0.105252
53	0.266503
54	0.154678
55	-0.130518
56	-0.187758
57	0.255515
58	0.142461
59	-0.100084
60	-0.007418
61	-0.073230
62	-0.162444
63	0.140623
64	0.132296
65	-0.273382
66	0.037664
67	0.060450
68	-0.249170
69	-0.164842
70	0.228115
71	-0.259078
72	-0.114580
73	-0.228881
74	-0.259867
75	0.231674
76	-0.017782
77	0.076579
78	0.194420
79	-0.241482
80	0.219833
81	0.186621
82	0.085554
83	-0.231933
84	0.175222
85	0.097803
86	-0.184592
87	0.100672
88	-0.258746
89	-0.060755
90	0.173051
91	0.148197
92	-0.006846
93	0.084940
94	-0.148870
95	-0.062760
96	0.242476
97	-0.156825
98	0.119244
99	-0.147641
100	-0.237638
101	0.174893
102	-0.109528
103	0.303621
104	0.113824
105	0.038357
106	-0.188839
107	0.064678
108	-0.024941
109	0.087329
110	0.219332
111	0.122477
112	0.226295
113	0.051492
114	-0.127242
115	0.027842
116	-0.149220
117	0.111843
118	-0.010363
119	0.041916
120	0.185503
121	-0.229899
122	-0.042741
123	-0.098966
124	0.089392
125	0.073715
126	-0.253315
127	0.187898
128	-0.252556
129	0.198701
130	-0.184814
131	-0.031723
132	0.006983
133	-0.120670
134	-0.233577
135	-0.042010
136	0.109014
137	-0.114092
138	-0.123817
139	-0.034973
140	0.080863
141	0.197033
142	0.011936
143	-0.112575
144	-0.063413
145	-0.168655
146	-0.088234
147	0.160174
148	-0.119185
149	0.076479
150	0.145728
151	-0.009421
152	0.019064
153	-0.198254
154	0.054165
155	-0.032434
156	-0.076921
157	0.121942
158	-0.143965
159	0.089924
160	0.213146
161	-0.067630
162	0.190459
163	0.126908
164	-0.156919
165	0.091420
166	-0.044086
167	-0.034380
168	-0.120155
169	0.188149
170	-0.180713
171	-0.146924
172	0.077532
173	-0.124782
174	-0.013784
175	-0.109107
176	-0.014116
177	-0.104366
178	-0.299512
179	-0.132546
180	0.182675
181	0.000097
182	-0.115017
183	0.056746
184	0.168107
185	-0.126378
186	0.263647
187	0.093538
188	0.069398
189	0.171481
190	-0.122909
191	-0.127907
192	0.066512
193	-0.115998
194	0.078026
195	0.008094
196	0.138289
197	-0.131304
198	-0.134734
199	0.095813
200	-0.150400
201	0.032236
202	0.046589
203	-0.044352
204	0.144360
205	-0.241289
206	0.148384
207	0.123358
208	-0.162738
209	-0.261773
210	-0.102044
211	-0.011144
212	0.039496
213	0.103703
214	0.036176
215	0.183615
216	-0.154880
217	0.056266
218	0.006415
219	-0.070897
220	-0.011879
221	0.096980
222	0.011668
223	0.063502
224	0.074755
225	-0.013154
226	-0.151998
227	-0.141608
228	-0.064576
229	-0.239703
230	0.110781
231	-0.157189
232	-0.173351
233	-0.030387
234	0.023697
235	0.010759
236	-0.128253
237	0.194438
238	0.077644
239	0.242073
240	0.075866
241	-0.206044
242	-0.182273
243	-0.071402
244	-0.198372
245	-0.043779
246	0.218029
247	0.034888
248	-0.038893
249	-0.125921
250	0.111353
251	0.118017
252	-0.012744
253	0.279126
254	0.280207
255	0.275393
256	0.081129
257	0.006049
258	0.060555
259	-0.041273
260	-0.166289
261	0.121752
262	-0.087481
263	-0.232047
264	0.087521
265	-0.070214
266	0.234048
267	-0.049311
268	-0.143978
269	0.252595
270	-0.040835
271	-0.110749
272	0.202612
273	-0.116977
274	-0.171945
275	-0.013085
276	-0.249827
277	0.164430
278	-0.070797
279	0.143189
280	0.250831
281	-0.125296
282	-0.182053
283	-0.217926
284	-0.213394
285	0.030258
286	-0.051305
287	0.291185
288	-0.179134
289	-0.058406
290	0.025073
291	0.060808
292	-0.208617
293	-0.029811
294	0.045390
295	0.220242
296	0.113624
297	-0.025627
298	-0.190960
299	-0.131226
300	0.108723
301	0.168235
302	-0.107407
303	0.082466
304	0.059323
305	-0.143745
306	0.128778
307	0.133286
308	0.106093
309	-0.087970
310	0.130657
311	-0.004847
312	-0.195661
313	0.259614
314	0.234780
315	0.266619
316	-0.029973
317	0.104728
318	0.139054
319	-0.177417
320	0.018993
321	0.079620
322	-0.061724
323	-0.034647
324	-0.002824
325	0.243537
326	0.045756
327	-0.022576
328	-0.083073
329	0.091952
330	0.147098
331	-0.053697
332	0.166146
333	-0.019583
334	0.053087
335	0.215279
336	-0.130726
337	-0.091375
338	0.198816
339	0.029506
340	-0.155897
341	-0.090694
342	-0.068698
343	0.084004
344	0.199435
345	-0.243739
346	0.056470
347	0.225843
348	-0.124480
349	-0.031878
350	0.166487
351	0.234056
352	-0.048310
353	0.167807
354	-0.213632
355	0.152989
356	-0.054756
357	-0.034954
358	-0.211419
359	0.230828
360	-0.195206
361	0.202575
362	-0.145706
363	0.169710
364	-0.157160
365	-0.036268
366	0.179200
367	-0.091242
368	0.214338
369	0.221673
370	0.065217
371	-0.048509
372	-0.241490
373	0.055817
374	-0.032874
375	-0.181459
376	-0.123251
377	0.108337
378	-0.154875
