pass	compression	q	error	size
0	2	0.001	0.000041941	376
0	2	0.010	-0.001117069	376
0	2	0.100	0.012189975	376
0	2	0.500	-0.001608406	376
0	5	0.001	-0.000004719	736
0	5	0.010	0.000015285	736
0	5	0.100	-0.000165608	736
0	5	0.500	0.032725285	736
0	10	0.001	-0.000066576	1264
0	10	0.010	-0.000152041	1264
0	10	0.100	-0.001388200	1264
0	10	0.500	0.041717981	1264
0	20	0.001	-0.000004916	2176
0	20	0.010	-0.000026045	2176
0	20	0.100	0.006220199	2176
0	20	0.500	0.002500749	2176
0	50	0.001	-0.000002513	5584
0	50	0.010	0.000001672	5584
0	50	0.100	0.000099351	5584
0	50	0.500	-0.000360679	5584
0	100	0.001	-0.000004452	10504
0	100	0.010	-0.000051049	10504
0	100	0.100	-0.000086668	10504
0	100	0.500	-0.000080767	10504
0	200	0.001	-0.000013872	19132
0	200	0.010	0.000014487	19132
0	200	0.100	-0.000504917	19132
0	200	0.500	-0.000054971	19132
0	500	0.001	-0.000013872	43288
0	500	0.010	-0.000011030	43288
0	500	0.100	-0.000028828	43288
0	500	0.500	0.000062777	43288
0	1000	0.001	-0.000013872	92164
0	1000	0.010	-0.000002696	92164
0	1000	0.100	0.000021419	92164
0	1000	0.500	0.000023560	92164
1	2	0.001	-0.000109109	376
1	2	0.010	0.005368654	376
1	2	0.100	-0.000148144	376
1	2	0.500	0.059221080	376
1	5	0.001	0.000206531	676
1	5	0.010	0.000647197	676
1	5	0.100	-0.001167884	676
1	5	0.500	0.024743718	676
1	10	0.001	0.000002941	1324
1	10	0.010	-0.000176295	1324
1	10	0.100	0.000346727	1324
1	10	0.500	0.000761726	1324
1	20	0.001	-0.000000474	2224
1	20	0.010	0.000094226	2224
1	20	0.100	0.006054451	2224
1	20	0.500	-0.005445600	2224
1	50	0.001	-0.000009719	5620
1	50	0.010	0.000019697	5620
1	50	0.100	0.000499489	5620
1	50	0.500	-0.001266455	5620
1	100	0.001	0.000014769	10348
1	100	0.010	0.000073864	10348
1	100	0.100	0.000302607	10348
1	100	0.500	0.000037344	10348
1	200	0.001	-0.000000583	19492
1	200	0.010	-0.000015447	19492
1	200	0.100	-0.000072357	19492
1	200	0.500	0.000391804	19492
1	500	0.001	-0.000000583	43000
1	500	0.010	-0.000000873	43000
1	500	0.100	-0.000014668	43000
1	500	0.500	-0.000375060	43000
1	1000	0.001	-0.000000583	92416
1	1000	0.010	-0.000003688	92416
1	1000	0.100	0.000008649	92416
1	1000	0.500	0.000004736	92416
2	2	0.001	0.000267935	316
2	2	0.010	-0.000125609	316
2	2	0.100	-0.003785039	316
2	2	0.500	-0.068788896	316
2	5	0.001	0.000273572	772
2	5	0.010	-0.000689432	772
2	5	0.100	-0.000068444	772
2	5	0.500	0.001686149	772
2	10	0.001	0.000016898	1264
2	10	0.010	-0.000740947	1264
2	10	0.100	-0.002234609	1264
2	10	0.500	-0.005088125	1264
2	20	0.001	0.000007090	2272
2	20	0.010	0.000470890	2272
2	20	0.100	0.002932018	2272
2	20	0.500	-0.003199434	2272
2	50	0.001	-0.000000790	5440
2	50	0.010	-0.000038951	5440
2	50	0.100	0.000569472	5440
2	50	0.500	0.000111301	5440
2	100	0.001	0.000004286	10348
2	100	0.010	-0.000032397	10348
2	100	0.100	-0.000043166	10348
2	100	0.500	0.000987367	10348
2	200	0.001	0.000000634	19384
2	200	0.010	0.000000730	19384
2	200	0.100	0.000165814	19384
2	200	0.500	-0.000032832	19384
2	500	0.001	0.000000634	43156
2	500	0.010	-0.000013837	43156
2	500	0.100	0.000009771	43156
2	500	0.500	-0.000490405	43156
2	1000	0.001	0.000000634	92440
2	1000	0.010	-0.000010046	92440
2	1000	0.100	-0.000009170	92440
2	1000	0.500	-0.000010040	92440
3	2	0.001	-0.000110704	340
3	2	0.010	-0.000195604	340
3	2	0.100	0.044326965	340
3	2	0.500	0.075541723	340
3	5	0.001	0.000445870	760
3	5	0.010	0.000021347	760
3	5	0.100	-0.005112508	760
3	5	0.500	0.008436086	760
3	10	0.001	0.000079418	1336
3	10	0.010	0.000223318	1336
3	10	0.100	-0.000651650	1336
3	10	0.500	-0.005865123	1336
3	20	0.001	-0.000046531	2284
3	20	0.010	0.000530360	2284
3	20	0.100	-0.001110923	2284
3	20	0.500	-0.010360233	2284
3	50	0.001	-0.000012580	5620
3	50	0.010	0.000236093	5620
3	50	0.100	0.000013438	5620
3	50	0.500	0.000740528	5620
3	100	0.001	-0.000005397	10348
3	100	0.010	0.000086651	10348
3	100	0.100	0.000250083	10348
3	100	0.500	-0.000097005	10348
3	200	0.001	0.000004362	19144
3	200	0.010	-0.000034194	19144
3	200	0.100	0.000010428	19144
3	200	0.500	0.001068387	19144
3	500	0.001	0.000004362	43072
3	500	0.010	-0.000000552	43072
3	500	0.100	0.000143192	43072
3	500	0.500	-0.000082293	43072
3	1000	0.001	0.000004362	92296
3	1000	0.010	-0.000007148	92296
3	1000	0.100	-0.000056334	92296
3	1000	0.500	0.000009829	92296
4	2	0.001	-0.000012994	364
4	2	0.010	0.000394462	364
4	2	0.100	-0.002385179	364
4	2	0.500	0.003387810	364
4	5	0.001	0.000229847	736
4	5	0.010	0.000014913	736
4	5	0.100	-0.000800226	736
4	5	0.500	-0.004027478	736
4	10	0.001	-0.000038606	1372
4	10	0.010	-0.000146882	1372
4	10	0.100	0.000269688	1372
4	10	0.500	0.016528863	1372
4	20	0.001	0.000023043	2272
4	20	0.010	-0.000229963	2272
4	20	0.100	0.000788498	2272
4	20	0.500	-0.006930699	2272
4	50	0.001	-0.000007465	5584
4	50	0.010	-0.000031199	5584
4	50	0.100	-0.000362160	5584
4	50	0.500	0.000125182	5584
4	100	0.001	-0.000001951	10432
4	100	0.010	0.000039129	10432
4	100	0.100	0.000060639	10432
4	100	0.500	0.000022995	10432
4	200	0.001	-0.000005135	19432
4	200	0.010	0.000005852	19432
4	200	0.100	-0.000007276	19432
4	200	0.500	0.000043032	19432
4	500	0.001	-0.000005135	42604
4	500	0.010	-0.000025248	42604
4	500	0.100	0.000057862	42604
4	500	0.500	0.000200263	42604
4	1000	0.001	-0.000005135	92392
4	1000	0.010	-0.000005322	92392
