dist	tag	x	Q	error
uniform	cdf	0.00083275361	0.00100000	-0.00000234
gamma	cdf	2.0450220e-30	0.00100000	-0.00000198
mixture	cdf	-0.99599023	0.00100000	-0.00000037
uniform	quantile	0.00083275361	0.00100000	0.00000000
uniform	cdf	0.0099203520	0.01000000	-0.00000565
mixture	quantile	-0.99599023	0.00100000	0.00002000
gamma	quantile	2.0450220e-30	0.00100000	-0.00003000
gamma	cdf	4.1525973e-20	0.01000000	0.00000812
mixture	cdf	-0.96096202	0.01000000	0.00000215
uniform	quantile	0.0099203520	0.01000000	0.00004000
uniform	cdf	0.10013996	0.10000000	0.00017751
mixture	quantile	-0.96096202	0.01000000	-0.00007000
mixture	cdf	-0.59424148	0.10000000	0.00031425
gamma	quantile	4.1525973e-20	0.01000000	-0.00002000
gamma	cdf	5.9056078e-10	0.10000000	-0.00005622
gamma	quantile	5.9056078e-10	0.10000000	-0.00016000
uniform	quantile	0.10013996	0.10000000	-0.00007000
uniform	cdf	0.50077000	0.50000000	0.00000365
mixture	quantile	-0.59424148	0.10000000	-0.00004000
mixture	cdf	-1.2596110e-05	0.30000000	0.00031084
gamma	cdf	0.0058689962	0.50000000	-0.00006418
uniform	quantile	0.50077000	0.50000000	0.00005000
uniform	cdf	0.90121625	0.90000000	0.00006772
mixture	quantile	-1.2596110e-05	0.30000000	0.00018000
mixture	cdf	1.1797940e-07	0.50000000	-0.00019261
gamma	quantile	0.0058689962	0.50000000	0.00002000
gamma	cdf	2.6975362	0.90000000	0.00015953
uniform	quantile	0.90121625	0.90000000	0.00000000
uniform	cdf	0.98980327	0.99000000	0.00002025
mixture	quantile	1.1797940e-07	0.50000000	-0.00111000
mixture	cdf	1.3017625e-05	0.70000000	-0.00006774
gamma	quantile	2.6975362	0.90000000	-0.00098000
gamma	cdf	15.660532	0.99000000	0.00000388
uniform	quantile	0.98980327	0.99000000	0.00001000
uniform	cdf	0.99903511	0.99900000	0.00000330
gamma	quantile	15.660532	0.99000000	-0.00001000
gamma	cdf	33.820605	0.99900000	-0.00000312
mixture	quantile	1.3017625e-05	0.70000000	-0.00014000
mixture	cdf	0.60490157	0.90000000	0.00010770
uniform	quantile	0.99903511	0.99900000	-0.00001000
gamma	quantile	33.820605	0.99900000	0.00000000
mixture	quantile	0.60490157	0.90000000	0.00000000
mixture	cdf	0.96128478	0.99000000	-0.00001858
mixture	quantile	0.96128478	0.99000000	0.00000000
mixture	cdf	0.99671287	0.99900000	-0.00000175
mixture	quantile	0.99671287	0.99900000	-0.00001000
sequential	cdf	0.0031573006	0.00100000	-0.00000182
sequential	quantile	0.0031573006	0.00100000	0.00000000
