k	samples	compression	size1	size2
0	10	2	172	364
0	10	5	415	928
0	10	10	573	1288
0	10	20	1027	2380
0	10	50	2117	5056
0	10	100	3846	9208
0	10	200	6666	15976
0	10	500	13781	33052
0	10	1000	22691	54436
0	100	2	190	388
0	100	5	430	928
0	100	10	765	1660
0	100	20	1506	3316
0	100	50	3076	6892
0	100	100	5650	12844
0	100	200	10008	23320
0	100	500	21419	51364
0	100	1000	38441	92236
0	1000	2	279	556
0	1000	5	598	1228
0	1000	10	1014	2104
0	1000	20	1945	4180
0	1000	50	4199	9136
0	1000	100	7467	16456
0	1000	200	14014	31144
0	1000	500	30923	69472
0	1000	1000	56465	128560
0	10000	2	314	592
0	10000	5	695	1360
0	10000	10	1238	2500
0	10000	20	2270	4576
0	10000	50	5052	10468
0	10000	100	9355	19684
0	10000	200	17839	38392
0	10000	500	40074	87664
0	10000	1000	74873	164896
1	10	2	184	388
1	10	5	376	820
1	10	10	550	1228
1	10	20	1027	2368
1	10	50	2277	5440
1	10	100	3951	9460
1	10	200	6701	16060
1	10	500	13696	32848
1	10	1000	22861	54844
1	100	2	215	448
1	100	5	511	1096
1	100	10	719	1564
1	100	20	1413	3136
1	100	50	3044	6820
1	100	100	5875	13408
1	100	200	9916	23044
1	100	500	21770	52180
1	100	1000	38301	91900
1	1000	2	309	616
1	1000	5	693	1444
1	1000	10	1004	2104
1	1000	20	1852	3988
1	1000	50	4077	8908
1	1000	100	7645	16828
1	1000	200	13876	30820
1	1000	500	31030	69736
1	1000	1000	56824	129484
1	10000	2	361	700
1	10000	5	663	1324
1	10000	10	1295	2596
1	10000	20	2420	4960
1	10000	50	5378	11152
1	10000	100	9472	19936
1	10000	200	18051	38872
1	10000	500	39994	87388
1	10000	1000	74796	164596
2	10	2	169	352
2	10	5	402	880
2	10	10	608	1360
2	10	20	1043	2392
2	10	50	2089	4984
2	10	100	3766	9016
2	10	200	6701	16060
2	10	500	13781	33052
2	10	1000	22446	53848
2	100	2	209	436
2	100	5	492	1060
2	100	10	806	1732
2	100	20	1501	3304
2	100	50	3053	6844
2	100	100	5751	13048
2	100	200	10099	23500
2	100	500	21567	51700
2	100	1000	38601	92620
2	1000	2	234	448
2	1000	5	580	1192
2	1000	10	1049	2188
2	1000	20	1806	3856
