compression	q	error	size
2	0.001	0.000451190	384
2	0.010	0.006382621	384
2	0.100	0.020314456	384
2	0.500	-0.040975211	384
5	0.001	-0.000079004	720
5	0.010	-0.000184795	720
5	0.100	0.018422563	720
5	0.500	-0.000771237	720
10	0.001	-0.000015069	1368
10	0.010	-0.000048177	1368
10	0.100	0.002859474	1368
10	0.500	0.014746717	1368
20	0.001	-0.000014866	2292
20	0.010	-0.000098561	2292
20	0.100	-0.000720318	2292
20	0.500	-0.005475495	2292
50	0.001	0.000009470	5436
50	0.010	0.000058550	5436
50	0.100	-0.000492503	5436
50	0.500	-0.000714871	5436
100	0.001	-0.000012116	10596
100	0.010	0.000004926	10596
100	0.100	0.000001831	10596
100	0.500	-0.001781118	10596
200	0.001	-0.000003647	19440
200	0.010	-0.000039241	19440
200	0.100	-0.000103239	19440
200	0.500	-0.000454001	19440
500	0.001	-0.000003647	42636
500	0.010	-0.000012640	42636
500	0.100	-0.000375051	42636
500	0.500	-0.000601326	42636
1000	0.001	-0.000003647	91140
1000	0.010	0.000001278	91140
1000	0.100	0.000002902	91140
1000	0.500	-0.000007489	91140
2	0.001	0.000338829	372
2	0.010	-0.000650852	372
2	0.100	-0.004135983	372
2	0.500	-0.018258447	372
5	0.001	-0.000004964	744
5	0.010	-0.000110562	744
5	0.100	0.009537358	744
5	0.500	-0.006863515	744
10	0.001	-0.000008604	1188
10	0.010	-0.000172959	1188
10	0.100	0.002296744	1188
10	0.500	0.004029920	1188
20	0.001	-0.000017704	2364
20	0.010	-0.000458068	2364
20	0.100	0.000249116	2364
20	0.500	0.000226082	2364
50	0.001	-0.000006383	5616
50	0.010	0.000145457	5616
50	0.100	0.000054854	5616
50	0.500	-0.004432215	5616
100	0.001	-0.000008079	10404
100	0.010	-0.000031872	10404
100	0.100	0.000270874	10404
100	0.500	0.003406223	10404
200	0.001	0.000001948	18936
200	0.010	0.000036138	18936
200	0.100	-0.000098140	18936
200	0.500	-0.001864222	18936
500	0.001	0.000001948	43404
500	0.010	0.000009834	43404
500	0.100	0.000051429	43404
500	0.500	-0.000412550	43404
1000	0.001	0.000001948	92388
1000	0.010	-0.000017245	92388
1000	0.100	-0.000059442	92388
1000	0.500	0.000040954	92388
2	0.001	-0.000001697	372
2	0.010	0.000267957	372
2	0.100	-0.010990570	372
2	0.500	-0.034916586	372
5	0.001	-0.000026781	648
5	0.010	0.002044297	648
5	0.100	0.027246139	648
