pass	compression	q	error	size
0	2	0.001	-0.000068772	400
0	2	0.010	0.004502403	400
0	2	0.100	-0.007629691	400
0	2	0.500	0.063807129	400
0	5	0.001	-0.000002682	700
0	5	0.010	0.001130331	700
0	5	0.100	0.017855886	700
0	5	0.500	0.071144574	700
0	10	0.001	-0.000012324	1324
0	10	0.010	-0.000017097	1324
0	10	0.100	-0.003622739	1324
0	10	0.500	-0.009406644	1324
0	20	0.001	0.000059385	2272
0	20	0.010	-0.000555733	2272
0	20	0.100	0.002563642	2272
0	20	0.500	0.000225638	2272
0	50	0.001	0.000003917	5428
0	50	0.010	0.000240513	5428
0	50	0.100	-0.000375226	5428
0	50	0.500	-0.001531397	5428
0	100	0.001	-0.000006899	10144
0	100	0.010	0.000016601	10144
0	100	0.100	-0.000021740	10144
0	100	0.500	0.000079337	10144
0	200	0.001	-0.000013872	19288
0	200	0.010	0.000008943	19288
0	200	0.100	0.000028060	19288
0	200	0.500	0.000045817	19288
0	500	0.001	-0.000013872	42712
0	500	0.010	-0.000009949	42712
0	500	0.100	-0.000049255	42712
0	500	0.500	0.000017268	42712
0	1000	0.001	-0.000013872	91444
0	1000	0.010	-0.000004222	91444
0	1000	0.100	0.000005376	91444
0	1000	0.500	0.000007469	91444
1	2	0.001	0.000297373	340
1	2	0.010	0.000056451	340
1	2	0.100	-0.000580000	340
1	2	0.500	0.094006604	340
1	5	0.001	-0.000018798	700
1	5	0.010	-0.000736129	700
1	5	0.100	-0.005348081	700
1	5	0.500	0.003542097	700
1	10	0.001	0.000001947	1264
1	10	0.010	-0.000339011	1264
1	10	0.100	-0.001421360	1264
1	10	0.500	-0.001214704	1264
1	20	0.001	0.000016928	2212
1	20	0.010	-0.000106215	2212
1	20	0.100	0.004203763	2212
1	20	0.500	-0.011102537	2212
1	50	0.001	-0.000021940	5452
1	50	0.010	-0.000072386	5452
1	50	0.100	-0.000470424	5452
1	50	0.500	-0.006313275	5452
1	100	0.001	0.000003098	10456
1	100	0.010	-0.000002932	10456
1	100	0.100	-0.000136891	10456
1	100	0.500	0.000288503	10456
1	200	0.001	-0.000000583	19492
1	200	0.010	-0.000066077	19492
1	200	0.100	-0.000008076	19492
1	200	0.500	-0.000418590	19492
1	500	0.001	-0.000000583	43000
1	500	0.010	-0.000019196	43000
1	500	0.100	0.000017345	43000
1	500	0.500	-0.000312603	43000
1	1000	0.001	-0.000000583	91480
1	1000	0.010	0.000005723	91480
1	1000	0.100	-0.000004599	91480
1	1000	0.500	-0.000048003	91480
2	2	0.001	-0.000121555	340
2	2	0.010	0.000812204	340
2	2	0.100	0.097167484	340
2	2	0.500	-0.004066668	340
2	5	0.001	-0.000001869	784
2	5	0.010	0.003069630	784
2	5	0.100	0.000085296	784
2	5	0.500	-0.030807367	784
2	10	0.001	0.000018682	1288
2	10	0.010	-0.000100514	1288
2	10	0.100	0.005753533	1288
2	10	0.500	-0.000340306	1288
2	20	0.001	0.000023693	2464
2	20	0.010	-0.000078046	2464
2	20	0.100	-0.001632898	2464
2	20	0.500	-0.000055219	2464
