dist	x	Q	error
uniform	0.00100	0.001	0.000145
uniform	0.0100	0.010	0.000110
uniform	0.100	0.100	-0.000126
uniform	0.500	0.500	-0.000774
uniform	0.900	0.900	-0.001093
uniform	0.990	0.990	0.000167
uniform	0.999	0.999	-0.000034
uniform	0.00100	0.001	-0.000152
uniform	0.0100	0.010	-0.000063
uniform	0.100	0.100	-0.000302
uniform	0.500	0.500	-0.003048
uniform	0.900	0.900	-0.000031
uniform	0.990	0.990	0.000033
uniform	0.999	0.999	-0.000124
uniform	0.00100	0.001	0.000046
uniform	0.0100	0.010	0.000305
uniform	0.100	0.100	-0.000463
uniform	0.500	0.500	-0.000709
uniform	0.900	0.900	-0.000435
uniform	0.990	0.990	-0.000232
uniform	0.999	0.999	-0.000120
uniform	0.00100	0.001	-0.000033
uniform	0.0100	0.010	-0.000608
uniform	0.100	0.100	-0.000210
uniform	0.500	0.500	-0.001496
uniform	0.900	0.900	-0.000654
uniform	0.990	0.990	-0.000032
uniform	0.999	0.999	-0.000029
uniform	0.00100	0.001	0.000078
uniform	0.0100	0.010	0.001153
uniform	0.100	0.100	0.000881
uniform	0.500	0.500	0.002351
uniform	0.900	0.900	0.001194
uniform	0.990	0.990	0.000020
uniform	0.999	0.999	0.000055
uniform	0.00100	0.001	0.000012
uniform	0.0100	0.010	0.000208
uniform	0.100	0.100	0.000245
uniform	0.500	0.500	-0.000221
uniform	0.900	0.900	0.000532
uniform	0.990	0.990	-0.000056
uniform	0.999	0.999	-0.000005
uniform	0.00100	0.001	0.000147
uniform	0.0100	0.010	0.000259
uniform	0.100	0.100	0.000467
uniform	0.500	0.500	0.002354
uniform	0.900	0.900	0.002257
uniform	0.990	0.990	0.000293
uniform	0.999	0.999	-0.000011
uniform	0.00100	0.001	0.000060
uniform	0.0100	0.010	-0.000037
uniform	0.100	0.100	0.001556
uniform	0.500	0.500	0.001296
uniform	0.900	0.900	0.000470
uniform	0.990	0.990	0.000081
uniform	0.999	0.999	-0.000044
uniform	0.00100	0.001	-0.000128
uniform	0.0100	0.010	-0.000731
uniform	0.100	0.100	-0.000485
uniform	0.500	0.500	-0.001178
uniform	0.900	0.900	0.000239
uniform	0.990	0.990	0.000154
uniform	0.999	0.999	0.000071
uniform	0.00100	0.001	0.000125
uniform	0.0100	0.010	-0.000176
uniform	0.100	0.100	-0.000018
uniform	0.500	0.500	0.001739
uniform	0.900	0.900	0.000982
uniform	0.990	0.990	0.000026
uniform	0.999	0.999	0.000005
uniform	0.00100	0.001	0.000016
uniform	0.0100	0.010	-0.000391
