dist	tag	x	Q	error
uniform	cdf	0.00083275361	0.00100000	-0.00000198
uniform	quantile	0.00083275361	0.00100000	-0.00001000
uniform	cdf	0.0099203520	0.01000000	-0.00000155
uniform	quantile	0.0099203520	0.01000000	0.00004000
uniform	cdf	0.10013996	0.10000000	0.00029153
uniform	quantile	0.10013996	0.10000000	-0.00003000
uniform	cdf	0.50077000	0.50000000	0.00000365
uniform	quantile	0.50077000	0.50000000	0.00005000
uniform	cdf	0.90121625	0.90000000	0.00006772
uniform	quantile	0.90121625	0.90000000	0.00000000
uniform	cdf	0.98980327	0.99000000	-0.00000385
uniform	quantile	0.98980327	0.99000000	0.00000000
uniform	cdf	0.99903511	0.99900000	-0.00000008
uniform	quantile	0.99903511	0.99900000	0.00000000
uniform	cdf	0.0011257772	0.00100000	-0.00000232
uniform	quantile	0.0011257772	0.00100000	0.00002000
uniform	cdf	0.010079200	0.01000000	-0.00000010
uniform	quantile	0.010079200	0.01000000	-0.00005000
uniform	cdf	0.10039589	0.10000000	0.00005699
uniform	quantile	0.10039589	0.10000000	0.00000000
uniform	cdf	0.50314829	0.50000000	-0.00085820
uniform	quantile	0.50314829	0.50000000	0.00217000
uniform	cdf	0.90002754	0.90000000	0.00019216
uniform	quantile	0.90002754	0.90000000	-0.00008000
uniform	cdf	0.98996424	0.99000000	-0.00000513
uniform	quantile	0.98996424	0.99000000	-0.00002000
uniform	cdf	0.99912366	0.99900000	-0.00000049
uniform	quantile	0.99912366	0.99900000	-0.00001000
uniform	cdf	0.00094209094	0.00100000	-0.00000606
uniform	quantile	0.00094209094	0.00100000	-0.00001000
uniform	cdf	0.0097600389	0.01000000	0.00000507
uniform	quantile	0.0097600389	0.01000000	0.00001000
uniform	cdf	0.10040377	0.10000000	-0.00000648
uniform	quantile	0.10040377	0.10000000	-0.00107000
uniform	cdf	0.50086002	0.50000000	-0.00007138
uniform	quantile	0.50086002	0.50000000	-0.00034000
uniform	cdf	0.90041630	0.90000000	0.00052810
uniform	quantile	0.90041630	0.90000000	-0.00006000
uniform	cdf	0.99014044	0.99000000	-0.00000637
uniform	quantile	0.99014044	0.99000000	-0.00002000
uniform	cdf	0.99912803	0.99900000	-0.00000221
uniform	quantile	0.99912803	0.99900000	0.00002000
uniform	cdf	0.0010370014	0.00100000	0.00000566
uniform	quantile	0.0010370014	0.00100000	-0.00001000
uniform	cdf	0.010563480	0.01000000	-0.00001896
uniform	quantile	0.010563480	0.01000000	0.00008000
uniform	cdf	0.10021365	0.10000000	-0.00028666
uniform	quantile	0.10021365	0.10000000	-0.00031000
uniform	cdf	0.50144279	0.50000000	0.00029652
uniform	quantile	0.50144279	0.50000000	0.00023000
uniform	cdf	0.90064958	0.90000000	0.00011429
uniform	quantile	0.90064958	0.90000000	-0.00007000
uniform	cdf	0.99004486	0.99000000	0.00000985
uniform	quantile	0.99004486	0.99000000	0.00000000
uniform	cdf	0.99904904	0.99900000	0.00000225
uniform	quantile	0.99904904	0.99900000	-0.00001000
uniform	cdf	0.00092181384	0.00100000	-0.00000115
uniform	quantile	0.00092181384	0.00100000	0.00001000
uniform	cdf	0.0089481758	0.01000000	0.00001272
uniform	quantile	0.0089481758	0.01000000	-0.00001000
uniform	cdf	0.099108358	0.10000000	-0.00020777
uniform	quantile	0.099108358	0.10000000	0.00090000
uniform	cdf	0.49751156	0.50000000	-0.00007539
uniform	quantile	0.49751156	0.50000000	-0.00168000
uniform	cdf	0.89881342	0.90000000	0.00000404
uniform	quantile	0.89881342	0.90000000	0.00021000
uniform	cdf	0.98999024	0.99000000	0.00002585
uniform	quantile	0.98999024	0.99000000	-0.00001000
uniform	cdf	0.99893257	0.99900000	-0.00000033
uniform	quantile	0.99893257	0.99900000	0.00000000
gamma	cdf	2.0450220e-30	0.00100000	-0.00000198
gamma	quantile	2.0450220e-30	0.00100000	-0.00003000
gamma	cdf	4.1525973e-20	0.01000000	0.00002101
gamma	quantile	4.1525973e-20	0.01000000	-0.00001000
gamma	cdf	5.9056078e-10	0.10000000	-0.00003436
gamma	quantile	5.9056078e-10	0.10000000	0.00043000
