i	delta
0	0.299298
1	0.146644
2	0.209768
3	-0.099605
4	0.199871
5	0.138613
6	-0.154709
7	0.012581
8	-0.083105
9	-0.015366
10	-0.146780
11	0.012019
12	0.250864
13	-0.095987
14	-0.068732
15	-0.062223
16	-0.157675
17	0.140985
18	-0.020046
19	0.011335
20	0.073089
21	-0.206672
22	-0.111421
23	-0.141497
24	-0.231369
25	-0.102990
26	-0.039157
27	0.090133
28	-0.111651
29	-0.033641
30	0.208075
31	-0.108932
32	-0.047523
33	0.199716
34	-0.086039
35	-0.070119
36	-0.086348
37	-0.008745
38	0.069605
39	-0.179712
40	0.117414
41	-0.140851
42	-0.102304
43	-0.147378
44	-0.411024
45	-0.295870
46	-0.145002
47	-0.274373
48	-0.039552
49	-0.130097
50	0.294984
51	0.212842
52	-0.097670
53	0.168200
54	0.225930
55	0.228891
56	-0.065984
57	0.168574
58	0.189646
59	0.064690
60	0.106889
61	0.213691
62	0.075631
63	0.162414
64	0.187394
65	-0.170417
66	0.102168
67	0.123666
68	0.173104
69	-0.076758
70	0.265092
71	0.126868
72	-0.067872
73	-0.085021
74	-0.157449
75	-0.175996
76	-0.155083
77	-0.027429
78	-0.000048
79	0.239970
80	0.155443
81	-0.164435
82	0.145640
83	0.120471
84	-0.181185
85	0.231992
86	-0.164166
87	-0.141406
88	0.061523
89	0.062013
90	-0.150908
91	-0.111822
92	-0.071476
93	-0.144678
94	0.233319
95	0.043614
96	-0.021370
97	-0.152728
98	-0.099164
99	0.188608
100	-0.027506
101	0.196272
102	-0.137167
103	0.240882
104	-0.220284
105	0.129217
106	0.118429
107	-0.018965
108	-0.178123
109	0.049843
110	0.092960
111	0.040673
112	-0.040183
113	-0.117040
114	0.122772
115	-0.237050
116	0.050929
117	-0.062970
118	-0.134745
119	0.070959
120	-0.048223
121	-0.045588
122	-0.207748
123	0.044161
124	0.074737
125	-0.064800
126	-0.243535
127	0.056946
128	0.195874
129	0.003781
130	-0.196966
131	0.238999
132	-0.500308
133	0.412969
134	-0.168935
135	-0.523832
136	0.456612
137	0.249366
138	-0.526475
139	-0.405321
140	0.407981
141	-0.147326
142	-0.332309
143	0.103526
144	-0.312023
145	-0.068096
146	0.206847
147	0.071667
148	0.119511
149	-0.100989
150	0.164373
151	0.197745
152	0.177749
153	-0.067932
154	0.353613
155	0.247903
156	-0.178220
157	-0.050959
158	0.217002
159	0.174454
160	-0.087903
161	-0.049244
162	0.089777
163	0.210426
164	-0.153556
165	-0.070516
166	0.031677
167	-0.123232
168	0.037204
169	-0.115347
170	0.275896
171	0.113984
172	0.280126
173	0.122996
174	-0.189214
175	-0.138220
176	-0.120961
177	-0.005464
178	-0.123399
179	0.012891
180	0.070268
181	0.241056
182	0.040596
183	0.186311
184	0.045297
185	-0.071142
186	0.165088
187	0.054635
188	0.083641
189	0.093958
190	0.072310
191	-0.158357
192	0.203092
193	0.096568
194	0.117245
195	-0.162783
196	0.102213
197	-0.046592
198	-0.109074
199	-0.021185
200	-0.056903
201	-0.154963
202	-0.186008
203	0.024349
204	0.174068
205	0.172774
206	-0.253563
207	-0.031107
208	0.156859
209	-0.000721
210	-0.240600
211	-0.164316
212	-0.142813
213	0.593349
214	-0.196012
215	0.261359
216	0.144165
217	0.487665
218	-0.191033
219	0.474538
220	-0.436701
221	-0.122573
222	-0.032814
223	0.060856
224	-0.299118
225	-0.005562
226	0.169396
227	-0.186228
228	0.246895
229	-0.082419
230	-0.189514
231	-0.325114
232	0.078752
233	0.109333
234	-0.513439
235	0.060713
236	0.033547
237	0.129079
238	-0.122093
239	-0.363523
240	-0.328340
241	-0.345542
242	-0.047866
243	-0.328502
244	0.241286
245	-0.184028
246	0.182470
247	0.041913
248	0.126945
249	0.178518
250	-0.228803
251	-0.416288
252	0.054783
253	-0.287788
254	-0.463309
255	0.108395
256	-0.466203
257	0.178147
258	0.245281
259	-0.152918
260	-0.268754
261	0.096060
262	-0.176782
263	0.101253
264	0.006938
265	0.201455
266	0.214220
267	0.264349
268	-0.100487
269	0.020203
270	0.091786
271	0.097988
272	0.125612
273	0.232975
274	-0.044055
275	-0.066614
276	-0.002885
277	0.157002
278	-0.158851
279	0.245995
280	0.223263
281	-0.159929
282	0.268051
283	0.221152
284	0.171053
285	-0.041065
286	0.042827
287	-0.123017
288	-0.113990
289	-0.026197
290	0.110276
291	-0.247323
292	0.108293
293	0.100665
294	0.188937
295	-0.031684
296	-0.098977
297	0.183761
298	-0.153745
299	0.038299
300	0.150197
301	-0.000984
302	0.181927
303	0.101684
304	-0.072051
305	-0.000766
306	-0.006995
307	-0.114058
308	-0.002388
309	-0.182622
310	0.070321
311	-0.221901
312	-0.066327
313	-0.173455
314	0.191389
315	0.075236
316	0.130097
317	0.212794
318	-0.160087
319	-0.185862
320	-0.246694
321	-0.264948
322	0.006728
323	0.087629
324	-1.139527
325	0.022115
326	0.069200
327	0.075439
328	-0.211509
329	-0.045446
330	0.023053
331	-0.172129
332	0.037584
333	0.158509
334	0.068307
335	-0.231004
336	0.214079
337	0.007896
338	0.047650
339	-0.133758
340	0.100841
341	0.075127
342	-0.138491
343	0.183084
344	0.003687
345	0.040806
346	0.042667
347	-0.144296
348	0.214603
349	-0.035110
350	-0.005304
351	0.067243
352	0.041450
353	-0.161291
354	0.117747
355	-0.033653
356	0.175846
357	-0.053187
358	-0.172022
359	0.257193
360	-0.151772
361	0.001516
362	-0.008495
363	0.249178
364	0.221659
365	0.257874
366	0.093657
367	0.229573
368	0.176598
369	0.187689
370	-0.004029
371	-0.114989
372	0.178859
373	0.154056
374	0.199409
375	0.058323
376	-0.135829
377	-0.077186
378	0.084463
379	0.029312
380	-0.005001
381	-0.108563
382	-0.226982
383	-0.223312
384	0.234927
385	0.064585
386	0.215062
387	-0.234969
388	-0.171306
389	-0.118772
390	0.087904
391	-0.024281
392	0.256007
393	-0.181752
394	0.148751
395	0.194149
396	0.046699
397	-0.212411
398	0.135258
399	0.030345
400	0.103150
401	-0.232023
402	0.068850
403	0.213000
404	-0.171782
405	-0.230735
406	0.004236
407	0.141064
408	0.028051
409	-0.091810
410	-0.046546
411	-0.159459
412	-0.021963
413	0.203539
414	-0.214720
415	0.022594
416	-0.203140
417	0.014055
418	-0.245172
419	0.190029
420	-0.182972
421	-0.063291
422	0.069284
423	-0.187156
424	0.235628
425	0.066785
426	-0.095185
427	-0.080899
428	-0.112004
429	0.145453
430	0.077957
431	0.010334
432	0.182583
433	0.148166
434	-0.012857
435	-0.026301
436	-0.201133
437	0.231811
438	-0.195088
439	-0.214109
440	-0.116736
441	0.049037
442	-0.152647
443	-0.015248
444	0.177249
445	-0.019490
446	-0.050563
447	-0.118040
448	0.111682
449	0.201342
450	0.125826
451	0.155340
452	0.173766
453	-0.069998
454	0.068542
455	-0.181133
456	-0.162381
457	-0.188709
458	0.112745
459	0.088616
460	0.225248
461	-0.173211
462	-0.049566
463	-0.045891
464	0.076526
465	-0.134959
466	0.073410
467	0.233733
468	0.150022
469	0.169294
470	-0.044795
471	-0.036513
472	-0.253256
473	-0.019450
474	-0.088469
475	-0.064705
476	-0.110066
477	0.077744
478	0.002329
479	0.219931
480	-0.258794
481	-0.162165
482	-0.130478
483	-0.187951
484	0.039879
485	0.050015
486	0.103480
487	0.047591
488	0.038956
489	0.150677
490	-0.178287
491	-0.163029
492	-0.234924
493	0.124710
494	0.191194
495	-0.021247
496	0.028215
497	-0.022753
498	0.165646
499	0.150965
500	0.062478
501	-0.146958
502	-0.183878
503	-0.030432
504	0.117240
505	0.156645
506	0.204183
507	-0.129769
508	0.014977
509	0.009103
510	0.128826
511	-0.143468
512	-0.036059
513	-0.030054
514	0.104184
515	-0.171895
516	0.184006
517	0.059778
518	0.153783
519	0.227109
520	0.183689
521	-0.111599
522	-0.175848
523	-0.088046
524	0.049550
525	-0.023897
526	-0.083181
527	-0.095801
528	-0.058632
529	0.111460
530	-0.111112
531	-0.117547
532	0.156544
533	-0.141644
534	0.104539
535	0.100716
536	-0.206566
537	0.184447
538	-0.181644
539	-0.206324
540	-0.161708
541	0.107907
542	-0.150384
543	-0.131821
544	0.002226
545	0.053274
546	-0.147279
547	-0.130149
548	-0.057955
549	-0.245423
550	0.011552
551	0.026240
552	0.038721
553	0.056804
554	0.063795
555	0.185365
556	-0.212336
557	-0.035494
558	0.075680
559	0.011738
560	0.170537
561	-0.040115
562	0.012093
563	0.196202
564	-0.082991
565	-0.037559
566	-0.053770
567	0.024033
568	-0.002950
569	0.101717
570	-0.017308
571	0.035429
572	-0.121795
573	-0.244986
574	-0.044352
575	0.226897
576	-0.015961
577	0.185107
578	-0.218860
579	0.049029
580	0.151250
581	0.034759
582	0.231045
583	0.181544
584	-0.088143
585	0.130461
586	-0.134744
587	0.071984
588	0.136182
589	0.013979
590	-0.230449
591	0.081122
592	-0.078837
593	-0.081507
594	-0.112294
595	0.037031
596	-0.004780
597	-0.144398
598	0.192557
599	-0.196689
600	0.091671
601	-0.051644
602	0.033831
603	0.003553
604	-0.135189
605	0.118617
606	0.126395
607	0.049532
608	-0.019430
609	0.139274
610	-0.011402
611	0.050731
612	-0.296570
613	-0.124232
614	0.139042
615	-0.246135
616	0.188381
617	0.181711
618	0.004608
619	0.039105
620	-0.028850
621	-0.229202
622	-0.009801
623	-0.262655
624	-0.095350
625	0.098916
626	0.068590
627	-0.121709
628	0.077669
629	0.097618
630	0.099715
631	0.116536
632	0.223661
633	-0.076785
634	0.080149
635	-0.139532
636	-0.252052
637	0.233755
638	0.131944
639	0.176727
640	0.117219
641	-0.242804
642	0.202577
643	-0.107910
644	0.130725
645	-0.023378
646	0.057675
647	0.108181
648	0.059959
649	0.163049
650	0.189824
651	0.130001
652	-0.129314
653	0.008761
654	-0.128992
655	0.200220
656	0.066911
657	0.240117
658	-0.140769
659	-0.157738
660	-0.115048
661	0.113875
662	0.063957
663	-0.120798
664	0.004973
665	-0.083938
666	0.035023
667	0.027484
668	0.100825
669	0.214953
670	-0.183656
671	-0.178180
672	-0.143904
673	-0.033508
674	-0.148756
675	0.104962
676	0.100865
677	-0.257889
678	0.191872
679	-0.261280
680	-0.226997
681	0.171302
682	-0.009620
683	0.035023
684	-0.199659
685	-0.116186
686	0.043312
687	0.161851
688	-0.089246
689	0.155858
690	0.034047
691	-0.153926
692	-0.027276
693	0.153717
694	-0.020584
695	0.217926
696	0.131200
697	-0.198909
698	0.046769
699	-0.022262
700	-0.428342
701	0.130718
702	-0.125898
703	0.138033
704	-0.199291
705	-0.175393
706	0.092252
707	-0.168077
708	0.143898
709	0.043317
710	-0.123267
711	0.124299
712	-0.145924
713	-0.006467
714	0.133572
715	0.078716
716	0.099035
717	0.195022
718	-0.127235
719	0.160816
720	0.060010
721	-0.025565
722	0.014407
723	0.142173
724	0.000076
725	0.246696
726	0.009038
727	-0.081800
728	-0.028294
729	-0.035636
730	0.142164
731	-0.210121
732	0.245202
733	0.268818
734	0.036132
735	-0.169477
736	0.220510
737	-0.061804
738	-0.076036
739	0.249023
740	0.263613
741	-0.200394
742	-0.090380
743	-0.062431
744	0.056255
745	0.051296
746	0.160280
747	0.260336
748	-0.206116
749	-0.186839
750	-0.166004
751	-0.155357
752	-0.112934
753	-0.029269
754	-0.202555
755	-0.059351
756	-0.130977
757	-0.055296
758	0.262922
759	-0.104420
760	0.771754
761	-0.401803
762	0.102366
763	-0.213499
764	-0.094429
765	-0.111872
766	0.178721
767	-0.107929
768	0.019494
769	-0.006318
770	0.061224
771	-0.167744
772	0.050248
773	-0.196702
774	-0.048787
775	-0.171287
776	-0.037076
777	-0.194691
778	0.052357
779	0.053880
780	-0.093710
781	-0.157092
782	0.101916
783	-0.111396
784	-0.081696
785	0.141500
786	-0.199936
787	0.064796
788	-0.076470
789	-0.175110
790	-0.062407
791	0.158905
792	0.147562
793	0.130531
794	0.180265
795	0.133824
796	0.067776
797	-0.018251
798	-0.116169
799	-0.224333
800	0.032581
801	-0.130831
802	0.047371
803	0.103735
804	0.073756
805	-0.039254
806	0.134980
807	-0.176106
808	0.105646
809	0.192194
810	-0.049916
811	-0.135885
812	0.146275
813	-0.035987
814	-0.239296
815	0.094952
816	-0.115127
817	0.175468
818	-0.025738
819	0.105438
820	0.023199
821	-0.076138
822	-0.096916
823	-0.210400
824	-0.041657
825	-0.007584
826	-0.207458
827	0.072755
828	0.153042
829	-0.146581
830	0.132685
831	0.031736
832	0.136784
833	-0.074163
834	0.190288
835	-0.055041
836	-0.151636
837	-0.231316
838	-0.235388
839	0.200720
840	0.064012
841	0.090338
842	0.017188
843	-0.144785
844	0.063752
845	0.054898
846	0.061691
847	-0.047373
848	0.088547
849	-0.190504
850	0.038883
851	0.073312
852	0.138201
853	-0.198081
854	0.048161
855	-0.134064
856	0.018901
857	0.095051
858	0.065973
859	-0.212766
860	0.131888
861	0.069744
862	-0.047414
863	-0.239571
864	0.037412
865	-0.059666
866	-0.029902
867	0.120437
868	0.118905
869	0.137887
870	0.229854
871	-0.083244
872	0.140788
873	0.139297
874	0.025175
875	0.232518
876	-0.019549
877	-0.105611
878	-0.184299
879	0.014193
880	-0.251223
881	0.191877
882	-0.179783
883	-0.269979
884	0.189449
885	0.229461
886	0.215896
887	0.259509
888	-0.103382
889	0.037982
890	-0.061195
891	0.220114
892	-0.061972
893	-0.178681
894	-0.108033
895	0.240114
896	-0.174080
897	0.111968
898	-0.162266
899	0.211553
900	-0.248061
901	0.012851
902	-0.103191
903	-0.107866
904	-0.189156
905	-0.036136
906	-0.045945
907	-0.130584
908	0.261564
909	-0.248168
910	-0.100139
911	0.041390
912	0.144292
913	0.023034
914	0.077208
915	0.239614
916	-0.073438
917	0.163791
918	0.252382
919	0.206693
920	0.020824
921	-0.188355
922	0.247789
923	-0.149264
924	-0.205217
925	-0.068843
926	-0.229191
927	0.115626
928	0.123018
929	-0.189749
930	-0.099843
931	0.355118
932	-0.129856
933	0.217816
934	0.119415
935	0.327385
936	0.123350
937	0.155276
938	0.240608
939	0.058511
940	0.062675
941	0.101975
942	-0.170830
943	0.006370
944	-0.071586
945	-0.052035
946	0.105360
947	-0.113814
948	0.136629
949	-0.097977
950	0.070367
951	-0.195048
952	0.245312
953	-0.003764
954	0.048030
955	0.146911
956	0.238990
957	0.214158
958	0.080983
959	-0.195468
960	-0.243724
961	-0.136905
962	-0.253660
963	-0.018428
964	-0.013005
965	-0.228995
966	0.157062
967	0.044638
968	-0.209270
969	-0.256436
970	0.131762
971	-0.029961
972	-0.133936
973	-0.090727
974	-0.037416
975	0.159170
976	0.086590
977	0.049348
978	-0.034540
979	-0.112583
980	-0.086135
981	-0.168359
982	0.133949
983	-0.036534
984	0.002801
985	-0.218326
986	0.003537
987	0.113653
988	0.217888
989	-0.178205
990	0.054061
991	-0.031012
992	-0.051511
993	0.189111
994	-0.185385
995	-0.046990
996	0.205908
997	-0.178721
998	-0.036270
999	-0.063235
1000	-0.002593
1001	-0.001789
1002	-0.139761
1003	0.205542
1004	-0.251824
1005	0.096115
1006	-0.033367
1007	0.122971
1008	-0.230419
1009	0.196676
1010	0.156736
1011	0.181964
1012	0.058898
1013	0.012549
1014	-0.061945
1015	-0.010993
1016	0.035770
1017	0.110022
1018	-0.139731
1019	-0.188875
1020	0.106607
1021	-0.098865
1022	0.103177
1023	-0.124439
1024	0.025361
1025	-0.192032
1026	-0.181587
1027	-0.115879
1028	-0.127756
1029	-0.244433
1030	0.142701
1031	0.114426
1032	0.196824
1033	-0.137260
1034	0.205147
1035	-0.083347
1036	0.139855
1037	0.054590
1038	-0.217635
1039	-0.076193
1040	-0.271729
1041	-0.153118
1042	-0.677814
1043	-0.663696
1044	-0.065005
1045	-0.147075
1046	-0.043327
1047	0.168872
1048	0.121577
1049	-0.369966
1050	0.136540
1051	-0.354381
1052	-0.177797
1053	-0.012029
1054	0.118702
1055	-0.125292
1056	-0.145505
1057	-0.074385
1058	0.188287
1059	0.220790
1060	0.172457
1061	0.224163
1062	-0.094305
1063	-0.061211
1064	0.102169
1065	0.101106
1066	0.236117
1067	-0.063787
1068	0.177184
1069	0.138019
1070	-0.056429
1071	0.233190
1072	0.069147
1073	0.099867
1074	0.041097
1075	0.121156
1076	-0.094197
1077	0.101476
1078	-0.189213
1079	0.237730
1080	0.040797
1081	0.028478
1082	0.146417
1083	-0.062994
1084	0.136384
1085	0.004100
1086	-0.238706
1087	-0.276756
1088	0.040746
1089	-0.022903
1090	0.103744
1091	0.128406
1092	0.115450
1093	0.115308
1094	0.058995
1095	0.023634
1096	-0.200947
1097	-0.088853
1098	-0.264641
1099	0.059933
1100	-0.146013
1101	-0.048244
1102	-0.217565
1103	0.055009
1104	0.180751
1105	-0.221953
1106	0.197791
1107	0.184664
1108	0.083677
1109	0.177885
1110	-0.121111
1111	-0.252432
1112	0.059313
1113	-0.231680
1114	0.193247
1115	-0.209190
1116	0.193978
1117	0.103181
1118	0.212621
1119	0.216772
1120	-0.201457
1121	0.073202
1122	-0.039734
1123	-0.205495
1124	0.066092
1125	0.005839
1126	0.016354
1127	0.210820
1128	0.138974
1129	-0.019379
1130	-0.313679
1131	-0.129726
1132	-0.542666
1133	-0.351309
1134	-0.056413
1135	0.062826
1136	-0.130152
1137	-0.391876
1138	0.092441
1139	-0.416345
1140	0.108164
1141	0.200072
1142	0.195551
1143	-0.082852
1144	-0.126441
1145	0.171212
1146	0.215542
1147	0.211858
1148	-0.085885
1149	0.132130
1150	0.100806
1151	-0.204848
1152	0.099648
1153	-0.009699
1154	0.261824
1155	0.134449
1156	-0.105905
1157	-0.110889
1158	0.121454
1159	0.025220
1160	0.048190
1161	0.062943
1162	0.164125
1163	0.125481
1164	0.123222
1165	0.233665
1166	-0.012526
1167	-0.022401
1168	0.147172
1169	-0.083924
1170	0.125248
1171	0.186531
1172	0.032111
1173	-0.129480
1174	0.110215
1175	0.006804
1176	0.095750
1177	0.073861
1178	-0.080758
1179	-0.127424
1180	0.052451
1181	0.099001
1182	-0.240989
1183	-0.151984
1184	0.288287
1185	0.093011
1186	-0.019307
1187	0.226261
1188	-0.146904
1189	0.204108
1190	0.245142
1191	0.157896
1192	-0.199481
1193	0.102682
1194	0.003434
1195	-0.195524
1196	-0.153168
1197	0.098166
1198	-0.001017
1199	0.134248
1200	-0.142581
1201	-0.186025
1202	0.173126
1203	0.092436
1204	-0.229198
1205	0.126318
1206	-0.225338
1207	0.165622
1208	0.057426
1209	0.154401
1210	-0.044592
1211	-0.028682
1212	0.245445
1213	-0.091651
1214	0.173361
1215	-0.097388
1216	-0.063583
1217	-0.226423
