k	samples	compression	size1	size2
0	10	2	172	360
0	10	5	415	924
0	10	10	573	1284
0	10	20	1027	2376
0	10	50	2117	5052
0	10	100	3846	9204
0	10	200	6666	15972
0	10	500	13781	33048
0	10	1000	22691	54432
0	100	2	190	384
0	100	5	430	924
0	100	10	765	1656
0	100	20	1506	3312
0	100	50	3076	6888
0	100	100	5650	12840
0	100	200	10008	23316
0	100	500	21419	51360
0	100	1000	38441	92232
0	1000	2	279	552
0	1000	5	598	1224
0	1000	10	1014	2100
0	1000	20	1945	4176
0	1000	50	4199	9132
0	1000	100	7467	16452
0	1000	200	14014	31140
0	1000	500	30923	69468
0	1000	1000	56465	128556
0	10000	2	314	588
0	10000	5	695	1356
0	10000	10	1238	2496
0	10000	20	2270	4572
0	10000	50	5052	10464
0	10000	100	9355	19680
0	10000	200	17839	38388
0	10000	500	40074	87660
0	10000	1000	74873	164892
1	10	2	184	384
1	10	5	376	816
1	10	10	550	1224
1	10	20	1027	2364
1	10	50	2277	5436
1	10	100	3951	9456
1	10	200	6701	16056
1	10	500	13696	32844
1	10	1000	22861	54840
1	100	2	215	444
1	100	5	511	1092
1	100	10	719	1560
1	100	20	1413	3132
1	100	50	3044	6816
1	100	100	5875	13404
1	100	200	9916	23040
1	100	500	21770	52176
1	100	1000	38301	91896
1	1000	2	309	612
1	1000	5	693	1440
1	1000	10	1004	2100
1	1000	20	1852	3984
1	1000	50	4077	8904
1	1000	100	7645	16824
1	1000	200	13876	30816
1	1000	500	31030	69732
1	1000	1000	56824	129480
1	10000	2	361	696
1	10000	5	663	1320
1	10000	10	1295	2592
1	10000	20	2420	4956
1	10000	50	5378	11148
1	10000	100	9472	19932
1	10000	200	18051	38868
1	10000	500	39994	87384
1	10000	1000	74796	164592
2	10	2	169	348
2	10	5	402	876
2	10	10	608	1356
2	10	20	1043	2388
2	10	50	2089	4980
2	10	100	3766	9012
2	10	200	6701	16056
2	10	500	13781	33048
2	10	1000	22446	53844
2	100	2	209	432
2	100	5	492	1056
2	100	10	806	1728
2	100	20	1501	3300
2	100	50	3053	6840
2	100	100	5751	13044
2	100	200	10099	23496
2	100	500	21567	51696
2	100	1000	38601	92616
2	1000	2	234	444
2	1000	5	580	1188
2	1000	10	1049	2184
2	1000	20	1806	3852
2	1000	50	4022	8772
2	1000	100	7545	16644
